"age","phd","educ","logwage","hs","somecoll","college","ma","govt"
30,0,16,1.38629436111989,0,0,1,0,0
34,0,16,2.7510675861859,0,0,1,0,0
45,0,16,3.67541123706307,0,0,1,0,0
35,0,14,2.44568593663472,0,1,0,0,0
33,0,13,2.95651156040071,0,1,0,0,0
38,0,12,2.85115104474288,1,0,0,0,0
33,0,13,2.70161931077192,0,1,0,0,0
37,1,20,4.78909302414902,0,0,0,0,0
30,0,12,2.85115104474288,1,0,0,0,0
38,0,12,1.52939520476056,1,0,0,0,0
37,0,12,3.11066224022797,1,0,0,0,0
42,0,12,1.38629436111989,1,0,0,0,0
47,0,12,1.38629436111989,1,0,0,0,0
37,0,16,3.58512021982308,0,0,1,0,0
38,0,12,2.60268968544438,1,0,0,0,0
37,0,14,2.96149910191175,0,1,0,0,0
36,0,16,3.71028336277709,0,0,1,0,0
32,0,13,2.82298016777619,0,1,0,0,0
35,0,14,2.44568593663472,0,1,0,0,0
41,0,16,3.42651518964645,0,0,1,0,0
41,0,18,5.72910028264049,0,0,0,1,0
30,0,18,4.05512384906882,0,0,0,1,0
43,0,16,4.39889538817164,0,0,1,0,0
45,0,18,3.48713981146288,0,0,0,1,0
44,0,12,3.48058241091672,1,0,0,0,0
43,0,12,2.19437150835381,1,0,0,0,0
31,0,16,3.79275958460133,0,0,1,0,0
45,0,16,3.24419363285249,0,0,1,0,0
46,0,16,1.38629436111989,0,0,1,0,0
48,0,18,2.7333680090865,0,0,0,1,0
40,0,18,4.06342265188351,0,0,0,1,0
45,0,13,3.58512021982308,0,1,0,0,1
40,1,20,4.23744540586277,0,0,0,0,0
41,0,16,3.71028336277709,0,0,1,0,1
40,0,16,3.41604388977915,0,0,1,0,1
49,0,14,4.51465617844726,0,1,0,0,0
38,0,14,3.12356564506388,0,1,0,0,0
47,0,12,2.99222964300279,1,0,0,0,0
46,0,12,3.07429459605709,1,0,0,0,0
37,0,13,3.20337163833224,0,1,0,0,0
50,0,12,1.38629436111989,1,0,0,0,0
36,0,16,3.8647701205776,0,0,1,0,0
49,0,16,1.38629436111989,0,0,1,0,0
42,0,16,2.92811208587901,0,0,1,0,0
48,0,18,3.64965874096066,0,0,0,1,0
48,0,12,2.7333680090865,1,0,0,0,0
45,0,12,3.00530172457014,1,0,0,0,0
49,0,16,1.38629436111989,0,0,1,0,0
48,0,16,3.4572868483132,0,0,1,0,0
40,0,16,3.6088367464404,0,0,1,0,0
47,0,14,2.77419000360676,0,1,0,0,0
44,0,16,3.71542307298498,0,0,1,0,0
38,0,16,4.05512384906882,0,0,1,0,0
43,0,18,3.70372596223093,0,0,0,1,0
31,0,16,2.15800386418294,0,0,1,0,1
46,0,12,1.38629436111989,1,0,0,0,0
49,1,20,3.64965874096066,0,0,0,0,0
43,0,12,1.38629436111989,1,0,0,0,0
48,0,12,3.17965511171492,1,0,0,0,0
34,0,12,3.03249746737863,1,0,0,0,0
36,0,13,3.57169719949094,0,1,0,0,0
40,0,14,1.38629436111989,0,1,0,0,0
41,0,16,3.34855364817673,0,0,1,0,0
44,0,14,3.15496249912455,0,1,0,0,1
40,0,18,4.27826740038303,0,0,0,1,0
46,0,16,3.08925833156481,0,0,1,0,0
37,0,16,3.04884209886794,0,0,1,0,1
49,0,12,2.95651156040071,1,0,0,0,0
42,0,12,2.59983661646198,1,0,0,0,0
47,0,16,3.50858014270075,0,0,1,0,1
47,0,18,3.07429459605709,0,0,0,1,1
42,0,16,2.92726447427653,0,0,1,0,0
47,0,14,3.41076683267831,0,1,0,0,0
44,0,16,3.11777970799683,0,0,1,0,0
40,0,16,3.4673371841667,0,0,1,0,0
43,0,16,1.38629436111989,0,0,1,0,0
32,0,12,2.61373952163097,1,0,0,0,0
33,0,13,1.38629436111989,0,1,0,0,0
47,0,16,2.85115104474288,0,0,1,0,0
41,0,12,1.86883921177093,1,0,0,0,0
40,0,13,3.17008566069877,0,1,0,0,0
32,0,16,3.87280229227486,0,0,1,0,1
31,0,16,3.13883311719466,0,0,1,0,1
35,0,14,3.42651518964645,0,1,0,0,0
37,0,12,2.7333680090865,1,0,0,0,0
46,0,12,3.54429822530283,1,0,0,0,0
48,0,12,3.36197666850887,1,0,0,0,0
32,0,12,3.34528974972386,1,0,0,0,0
39,0,14,3.75501925661848,0,1,0,0,0
34,0,12,2.44568593663472,1,0,0,0,1
50,0,13,1.38629436111989,0,1,0,0,0
42,0,12,3.00530172457014,1,0,0,0,0
48,0,12,2.81341071676004,1,0,0,0,0
47,0,13,3.88275262312803,0,1,0,0,0
47,0,12,2.17998277090171,1,0,0,0,0
50,0,12,2.91584580367469,1,0,0,0,0
43,0,12,2.66882948794893,1,0,0,0,0
32,0,12,2.85115104474288,1,0,0,0,0
34,0,12,2.7333680090865,1,0,0,0,0
44,0,13,2.99573227355399,0,1,0,0,0
46,0,12,3.08314421133408,1,0,0,0,0
32,0,18,3.78942068333581,0,0,0,1,0
50,0,13,3.27496529151924,0,1,0,0,0
32,0,12,3.36197666850887,1,0,0,0,0
40,0,16,3.96811247207919,0,0,1,0,0
48,0,16,3.68887945411394,0,0,1,0,0
35,0,16,4.72010015266207,0,0,1,0,0
38,0,12,3.09627350277587,1,0,0,0,0
43,0,12,1.38629436111989,1,0,0,0,0
36,0,14,3.32423634052603,0,1,0,0,0
32,0,16,2.90146629690046,0,0,1,0,0
34,0,12,1.38629436111989,1,0,0,0,0
35,0,13,3.17965511171492,0,1,0,0,0
34,0,12,2.98120417299108,1,0,0,0,0
34,0,13,2.95651156040071,0,1,0,0,0
31,0,13,3.44201937618241,0,1,0,0,0
45,0,13,2.48650793115497,0,1,0,0,0
43,0,13,3.42651518964645,0,1,0,0,0
43,0,13,3.54429822530283,0,1,0,0,0
41,0,14,3.15718225586286,0,1,0,0,0
40,0,14,2.63492793627325,0,1,0,0,0
48,0,14,3.00530172457014,0,1,0,0,1
39,0,12,2.95651156040071,1,0,0,0,0
50,0,12,2.93119375241642,1,0,0,0,0
50,0,12,2.93119375241642,1,0,0,0,0
32,0,14,2.66882948794893,0,1,0,0,0
36,0,13,2.52572864430826,0,1,0,0,1
35,0,18,3.36197666850887,0,0,0,1,0
40,0,12,2.484906649788,1,0,0,0,0
32,0,12,2.08104282304681,1,0,0,0,0
50,0,12,1.88664868501859,1,0,0,0,0
43,0,14,2.8643962714929,0,1,0,0,0
44,0,18,3.71028336277709,0,0,0,1,0
38,0,16,3.01820512940605,0,0,1,0,0
30,0,16,2.90521826601316,0,0,1,0,0
38,0,16,3.48713981146288,0,0,1,0,0
38,1,20,3.36197666850887,0,0,0,0,0
30,0,12,2.59472151579521,1,0,0,0,0
46,0,16,3.06984024570771,0,0,1,0,0
44,0,12,2.55104645229255,1,0,0,0,0
46,1,20,3.62434093297637,0,0,0,0,1
37,0,12,1.38629436111989,1,0,0,0,0
44,0,12,2.90521826601316,1,0,0,0,0
31,0,12,3.06187207605854,1,0,0,0,0
32,0,13,2.52572864430826,0,1,0,0,0
34,0,13,2.40312632221592,0,1,0,0,0
41,0,12,2.69059097973044,1,0,0,0,0
39,0,16,3.27496529151924,0,0,1,0,1
34,0,18,3.29298379702192,0,0,0,1,0
49,0,12,2.76413966775325,1,0,0,0,0
